;Time;BuienRadar;OpenWeatherMap;AccuWeather;WeatherAPI;WeatherBitIO;Meteomatics;Aeris;Foreca
7746;1655040000;0;0;0;0;0;0;0;0
7747;1655040300;0;0;0;0;0;0;0;0
7748;1655040600;0;0;0;0;0;0;0;0
7749;1655040900;0;0;0;0;0;0;0;0
7750;1655041200;0;0;0;0;0;0;0;0
7751;1655041500;0;0;0;0;0;0;0;0
7752;1655041800;0;0;0;0;0;0;0;0
7753;1655042100;0;0;0;0;0;0;0;0
7754;1655042400;0;0;0;0;0;0;0;0
7755;1655042700;0;0;0;0;0;0;0;0
7756;1655043000;0;0;0;0;0;0;0;0
7757;1655043300;0;0;0;0;0;0;0;0
7758;1655043600;0;0;0;0;0;0;0;0
7759;1655043900;0;0;0;0;0;0;0;0
7760;1655044200;0;0;0;0;0;0;0;0
7761;1655044500;0;0;0;0;0;0;0;0
7762;1655044800;0;0;0;0;0;0;0;0
7763;1655045100;0;0;0;0;0;0;0;0
7764;1655045400;0;0;0;0;0;0;0;0
7765;1655045700;0;0;0;0;0;0;0;0
7766;1655046000;0;0;0;0;0;0;0;0
7767;1655046300;0;0;0;0;0;0;0;0
7768;1655046600;0;0;0;0;0;0;0;0
7769;1655046900;0;0;0;0;0;0;0;0
7770;1655047200;0;0;0;0;0;0;0;0
7771;1655047500;0;0;0;0;0;0;0;0
7772;1655047800;0;0;0;0;0;0;0;0
7773;1655048100;0;0;0;0;0;0;0;0
7774;1655048400;0;0;0;0;0;0;0;0
7775;1655048700;0;0;0;0;0;0;0;0
7776;1655049000;0;0;0;0;0;0;0;0
7777;1655049300;0;0;0;0;0;0;0;0
7778;1655049600;0;0;0;0;0;0;0;0
7779;1655049900;0;0;0;0;0;0;0;0
7780;1655050200;0;0;0;0;0;0;0;0
7781;1655050500;0;0;0;0;0;0;0;0
7782;1655050800;0;0;0;0;0;0;0;0
7783;1655051100;0;0;0;0;0;0;0;0
7784;1655051400;0;0;0;0;0;0;0;0
7785;1655051700;0;0;0;0;0;0;0;0
7786;1655052000;0;0;0;0;0;0;0;0
7787;1655052300;0;0;0;0;0;0;0;0
7788;1655052600;0;0;0;0;0;0;0;0
7789;1655052900;0;0;0;0;0;0;0;0
7790;1655053200;0;0;0;0;0;0;0;0
7791;1655053500;0;0;0;0;0;0;0;0
7792;1655053800;0;0;0;0;0;0;0;0
7793;1655054100;0;0;0;0;0;0;0;0
7794;1655054400;0;0;0;0;0;0;0;0
7795;1655054700;0;0;0;0;0;0;0;0
7796;1655055000;0;0;0;0;0;0;0;0
7797;1655055300;0;0;0;0;0;0;0;0
7798;1655055600;0;0;0;0;0;0;0;0
7799;1655055900;0;0;0;0;0;0;0;0
7800;1655056200;0;0;0;0;0;0;0;0
7801;1655056500;0;0;0;0;0;0;0;0
7802;1655056800;0;0;0;0;0;0;0;0
7803;1655057100;0;0;0;0;0;0;0;0
7804;1655057400;0;0;0;0;0;0;0;0
7805;1655057700;0;0;0;0;0;0;0;0
7806;1655058000;0;0;0;0;0;0;0;0
7807;1655058300;0;0;0;0;0;0;0;0
7808;1655058600;0;0;0;0;0;0;0;0
7809;1655058900;0;0;0;0;0;0;0;0
7810;1655059200;0;0;0;0;0;0;0;0
7811;1655059500;0;0;0;0;0;0;0;0
7812;1655059800;0;0;0;0;0;0;0;0
7813;1655060100;0;0;0;0;0;0;0;0
7814;1655060400;0;0;0;0;0;0;0;0
7815;1655060700;0;0;0;0;0;0;0;0
7816;1655061000;0;0;0;0;0;0;0;0
7817;1655061300;0;0;0;0;0;0;0;0
7818;1655061600;0;0;0;0;0;0;0;0
7819;1655061900;0;0;0;0;0;0;0;0
7820;1655062200;0;0;0;0;0;0;0;0
7821;1655062500;0;0;0;0;0;0;0;0
7822;1655062800;0;0;0;0;0;0;0;0
7823;1655063100;0;0;0;0;0;0;0;0
7824;1655063400;0;0;0;0;0;0;0;0
7825;1655063700;0;0;0;0;0;0;0;0
7826;1655064000;0;0;0;0;0;0;0;0
7827;1655064300;0;0;0;0;0;0;0;0
7828;1655064600;0;0;0;0;0;0;0;0
7829;1655064900;0;0;0;0;0;0;0;0
7830;1655065200;0;0;0;0;0;0;0;0
7831;1655065500;0;0;0;0;0;0;0;0
